ID,Name,Team,Position,Availability,Selection,EA_Index,Price
407,Stephen Ireland,Stoke,Midfielder,100,0.1,149,4.7
408,Charlie Adam,Stoke,Midfielder,100,1.0,308,5.4
409,Glenn Whelan,Stoke,Midfielder,100,0.0,333,4.9
410,Wilson Palacios,Stoke,Midfielder,,0.2,0,4.3
411,Jonathan Walters,Stoke,Midfielder,100,3.1,486,5.1
412,Steven N'Zonzi,Stoke,Midfielder,100,0.5,479,4.9
413,Brek Shea,Stoke,Midfielder,0,0.0,0,4.3
414,Jamie Ness,Stoke,Midfielder,0,0.0,0,4.4
415,Charlie Ward,Stoke,Midfielder,,0.1,0,4.3
416,Steve Sidwell,Stoke,Midfielder,100,1.2,24,5.0
417,Marko Arnautovic,Stoke,Midfielder,100,0.6,288,6.2
418,Peter Odemwingie,Stoke,Midfielder,100,0.3,34,6.1
419,Peter Crouch,Stoke,Forward,100,1.4,269,5.6
420,Cameron Jerome,Stoke,Forward,,0.1,0,5.0
421,Mame Biram Diouf,Stoke,Forward,100,0.6,476,6.1
422,Vito Mannone,Sunderland,Goalkeeper,100,4.4,87,4.1
423,Costel Pantilimon,Sunderland,Goalkeeper,100,4.1,277,4.5
424,John O'Shea,Sunderland,Defender,100,7.5,291,4.6
425,Wes Brown,Sunderland,Defender,100,0.4,210,4.3
426,Modibo Diakité,Sunderland,Defender,0,0.4,0,4.0
427,Valentin Roberge,Sunderland,Defender,0,0.1,2,4.0
428,Billy Jones,Sunderland,Defender,100,0.1,151,4.3
429,Adam Johnson,Sunderland,Midfielder,100,2.4,325,5.9
430,Lee Cattermole,Sunderland,Midfielder,100,2.6,236,4.3
431,Sebastian Larsson,Sunderland,Midfielder,100,4.4,468,5.3
432,Alfred N'Diaye,Sunderland,Midfielder,0,0.0,0,4.5
433,Tavares Varela Adilson Cabral,Sunderland,Midfielder,0,0.0,0,4.3
434,Emanuele Giaccherini,Sunderland,Midfielder,100,0.0,41,5.8
435,El-Hadji Ba,Sunderland,Midfielder,0,0.0,0,4.5
436,Charalampos Mavrias,Sunderland,Midfielder,0,0.0,0,4.3
437,Liam Bridcutt,Sunderland,Midfielder,100,0.3,118,4.2
438,Liam Agnew,Sunderland,Midfielder,,0.1,0,4.3
439,Jordi Gomez Garcia-Penche,Sunderland,Midfielder,100,0.8,328,5.1
440,Connor Wickham,Sunderland,Forward,100,1.1,363,5.6
